,Symbol,Date,Open,High,Low,Close,Volume
0,IDXG,2017-01-02,44.0,44.0,44.0,44.0,0
1,IDXG,2017-01-03,52.4,142.5,49.1,75.0,17537000
2,IDXG,2017-01-04,67.7,95.7,67.7,68.0,8306200
3,IDXG,2017-01-05,73.5,81.4,66.6,68.4,1602400
4,IDXG,2017-01-06,69.0,69.6,61.2,64.7,848900
5,IDXG,2017-01-09,61.9,62.4,55.5,58.6,639800
6,IDXG,2017-01-10,69.3,78.0,65.0,70.0,2483100
7,IDXG,2017-01-11,69.1,70.0,57.5,62.0,681100
8,IDXG,2017-01-12,58.2,60.8,56.2,57.2,314500
9,IDXG,2017-01-13,56.6,57.5,53.1,53.8,267800
10,IDXG,2017-01-16,53.8,53.8,53.8,53.8,0
11,IDXG,2017-01-17,53.5,53.7,48.4,48.6,306900
12,IDXG,2017-01-18,49.5,49.9,44.7,45.1,228300
13,IDXG,2017-01-19,44.8,51.5,43.0,46.0,364500
14,IDXG,2017-01-20,71.3,74.8,42.6,43.3,6358900
15,IDXG,2017-01-23,42.4,42.7,38.5,40.0,559400
16,IDXG,2017-01-24,47.7,47.7,40.0,41.0,2127200
17,IDXG,2017-01-25,39.6,44.3,39.0,44.3,407100
18,IDXG,2017-01-26,44.2,46.0,41.0,44.7,371800
19,IDXG,2017-01-27,42.7,44.9,42.0,43.5,196300
20,IDXG,2017-01-30,43.9,44.7,40.7,41.6,112500
21,IDXG,2017-01-31,41.0,42.5,39.6,41.7,348100
22,IDXG,2017-02-01,41.3,45.0,40.2,44.1,472600
23,IDXG,2017-02-02,43.7,48.6,42.0,43.2,1106600
24,IDXG,2017-02-03,31.5,33.0,30.9,31.6,1482400
25,IDXG,2017-02-06,31.2,31.8,29.0,31.1,454900
26,IDXG,2017-02-07,29.6,31.2,29.6,30.3,558400
27,IDXG,2017-02-08,30.5,32.8,29.6,30.9,1068500
28,IDXG,2017-02-09,29.4,30.0,27.5,28.4,545200
29,IDXG,2017-02-10,28.0,29.5,27.3,29.0,408300
30,IDXG,2017-02-13,28.5,31.4,27.8,30.7,459100
31,IDXG,2017-02-14,30.1,30.5,28.6,29.1,342500
32,IDXG,2017-02-15,28.8,29.1,27.7,28.1,205100
33,IDXG,2017-02-16,27.5,28.0,26.1,26.6,273900
34,IDXG,2017-02-17,26.0,29.6,26.0,27.2,404000
35,IDXG,2017-02-20,27.2,27.2,27.2,27.2,0
36,IDXG,2017-02-21,32.0,33.0,27.8,28.6,1505400
37,IDXG,2017-02-22,28.1,29.3,27.0,28.0,347500
38,IDXG,2017-02-23,28.0,28.2,27.0,27.6,120500
39,IDXG,2017-02-24,27.0,28.3,26.5,28.2,233000
40,IDXG,2017-02-27,29.8,32.5,27.5,27.6,1179400
41,IDXG,2017-02-28,28.0,28.0,27.0,27.8,136200
42,IDXG,2017-03-01,27.8,28.5,27.2,28.0,115600
43,IDXG,2017-03-02,27.2,28.1,26.5,27.2,166800
44,IDXG,2017-03-03,27.2,29.3,26.5,28.8,278900
45,IDXG,2017-03-06,28.3,28.8,27.5,27.9,117200
46,IDXG,2017-03-07,28.0,30.6,27.2,29.3,578600
47,IDXG,2017-03-08,28.4,29.1,27.0,27.3,305800
48,IDXG,2017-03-09,27.4,28.4,26.7,27.4,196800
49,IDXG,2017-03-10,27.0,27.4,25.2,25.9,205400
50,IDXG,2017-03-13,26.0,26.4,22.8,22.9,276900
51,IDXG,2017-03-14,22.3,23.1,21.0,22.3,291300
52,IDXG,2017-03-15,22.0,22.8,21.1,21.8,142100
53,IDXG,2017-03-16,21.8,22.5,21.0,21.2,146200
54,IDXG,2017-03-17,21.1,23.1,21.0,22.5,307700
55,IDXG,2017-03-20,22.0,22.2,21.8,22.0,63300
56,IDXG,2017-03-21,21.6,24.8,21.1,24.5,420300
57,IDXG,2017-03-22,26.5,34.3,25.5,28.6,9936200
58,IDXG,2017-03-23,26.2,27.3,23.5,23.7,1098100
59,IDXG,2017-03-24,23.0,23.8,21.3,23.4,385900
60,IDXG,2017-03-27,22.3,23.3,22.2,22.7,186800
61,IDXG,2017-03-28,22.9,25.5,22.0,25.0,536400
62,IDXG,2017-03-29,26.5,31.2,25.2,25.5,4073400
63,IDXG,2017-03-30,35.7,36.5,27.7,29.5,12772000
64,IDXG,2017-03-31,27.0,28.4,26.1,26.3,1067300
65,IDXG,2017-04-03,30.1,30.3,25.7,26.4,2435300
66,IDXG,2017-04-04,25.0,25.6,23.6,24.8,676600
67,IDXG,2017-04-05,23.0,23.6,21.5,22.2,958200
68,IDXG,2017-04-06,22.1,23.2,21.7,22.7,467900
69,IDXG,2017-04-07,22.5,23.1,21.8,22.1,324700
70,IDXG,2017-04-10,22.0,23.0,21.2,22.5,330600
71,IDXG,2017-04-11,22.3,22.5,21.4,21.6,390200
